"","site_unique","site_location_name","herbarium_determination","is_uncertain_determination","veg_barcode","standardised_name","standardised_scientific_name","kingdom","taxa_id","family","genus","specific_epithet","infraspecific_rank","infraspecific_epithet","taxa_status","taxa_group","genus_species","authorship","published_in","rank","visit_start_date","site_location_visit_id","primary_gen_barcode","secondary_gen_barcode_1","secondary_gen_barcode_2","secondary_gen_barcode_3","secondary_gen_barcode_4"
"236","NSABHC0014-53609","NSABHC0014","Leiocarpa tomentosa",FALSE,"NSA05761","Leiocarpa tomentosa","Leiocarpa tomentosa (Sond.) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/243119","Asteraceae","Leiocarpa","tomentosa","NA","NA","accepted","Equisetopsida","Leiocarpa tomentosa","(Sond.) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/6875190","Species","2012-09-21T00:00:00",53609,"NSA05762",NA,NA,NA,NA
"237","NSABHC0012-58022","NSABHC0012","Leiocarpa websteri",FALSE,"NSA013747","Leiocarpa websteri","Leiocarpa websteri (S.Moore) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/205472","Asteraceae","Leiocarpa","websteri","NA","NA","accepted","Equisetopsida","Leiocarpa websteri","(S.Moore) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-15T09:49:34",58022,"NSA013748",NA,NA,NA,NA
"238","NSABHC0009-58026","NSABHC0009","Leiocarpa websteri",FALSE,"NSA013249","Leiocarpa websteri","Leiocarpa websteri (S.Moore) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/205472","Asteraceae","Leiocarpa","websteri","NA","NA","accepted","Equisetopsida","Leiocarpa websteri","(S.Moore) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-13T11:11:06",58026,"NSA013250",NA,NA,NA,NA
"239","NSABHC0009-58026","NSABHC0009","Lemooria burkittii",FALSE,"NSA013523","Lemooria burkittii","Lemooria burkittii (Benth.) P.S.Short","Plantae","https://id.biodiversity.org.au/name/apni/240030","Asteraceae","Lemooria","burkittii","NA","NA","accepted","Equisetopsida","Lemooria burkittii","(Benth.) P.S.Short","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-13T11:11:06",58026,"NSA013524",NA,NA,NA,NA
"240","NSABHC0009-53604","NSABHC0009","Lemooria burkittii",FALSE,"NSA01651","Lemooria burkittii","Lemooria burkittii (Benth.) P.S.Short","Plantae","https://id.biodiversity.org.au/name/apni/240030","Asteraceae","Lemooria","burkittii","NA","NA","accepted","Equisetopsida","Lemooria burkittii","(Benth.) P.S.Short","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-03T00:00:00",53604,"NSA01652",NA,NA,NA,NA
"241","NSABHC0010-53605","NSABHC0010","Lemooria burkittii",FALSE,"NSA01708","Lemooria burkittii","Lemooria burkittii (Benth.) P.S.Short","Plantae","https://id.biodiversity.org.au/name/apni/240030","Asteraceae","Lemooria","burkittii","NA","NA","accepted","Equisetopsida","Lemooria burkittii","(Benth.) P.S.Short","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-04T00:00:00",53605,"NSA01709",NA,NA,NA,NA
"242","NSABHC0012-58022","NSABHC0012","Leontodon rhagadioloides",FALSE,"NSA013757","Leontodon rhagadioloides","Leontodon rhagadioloides (L.) Enke & Zidorn","Plantae","https://id.biodiversity.org.au/name/apni/198508","Asteraceae","Leontodon","rhagadioloides","NA","NA","accepted","Equisetopsida","Leontodon rhagadioloides","(L.) Enke & Zidorn","https://id.biodiversity.org.au/reference/apni/9787312","Species","2016-09-15T09:49:34",58022,"NSA013758",NA,NA,NA,NA
"243","NSABHC0023-57099","NSABHC0023","Maireana pyramidata",FALSE,"NSA07001","Maireana pyramidata","Maireana pyramidata (Benth.) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/215510","Chenopodiaceae","Maireana","pyramidata","NA","NA","accepted","Equisetopsida","Maireana pyramidata","(Benth.) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/42312","Species","2014-04-21T00:00:00",57099,"NSA  07002",NA,NA,NA,NA
"244","NSABHC0024-57100","NSABHC0024","Lepidium papillosum",FALSE,"NSA07218","Lepidium papillosum","Lepidium papillosum F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/238073","Brassicaceae","Lepidium","papillosum","NA","NA","accepted","Equisetopsida","Lepidium papillosum","F.Muell.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2014-04-22T00:00:00",57100,"NSA  07219",NA,NA,NA,NA
"245","NSABHC0009-58026","NSABHC0009","Lepidium phlebopetalum",FALSE,"NSA013273","Lepidium phlebopetalum","Lepidium phlebopetalum (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/179519","Brassicaceae","Lepidium","phlebopetalum","NA","NA","accepted","Equisetopsida","Lepidium phlebopetalum","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2016-09-13T11:11:06",58026,"NSA013274",NA,NA,NA,NA
"246","NSABHC0014-53609","NSABHC0014","Lepidium phlebopetalum",FALSE,"NSA05773","Lepidium phlebopetalum","Lepidium phlebopetalum (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/179519","Brassicaceae","Lepidium","phlebopetalum","NA","NA","accepted","Equisetopsida","Lepidium phlebopetalum","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2012-09-21T00:00:00",53609,"not collected",NA,NA,NA,NA
"247","NSABHC0009-53604","NSABHC0009","Lepidium phlebopetalum",FALSE,"NSA01422","Lepidium phlebopetalum","Lepidium phlebopetalum (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/179519","Brassicaceae","Lepidium","phlebopetalum","NA","NA","accepted","Equisetopsida","Lepidium phlebopetalum","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2012-09-03T00:00:00",53604,"NSA01423",NA,NA,NA,NA
"248","NSABHC0011-53606","NSABHC0011","Lepidium phlebopetalum",FALSE,"NSA01870","Lepidium phlebopetalum","Lepidium phlebopetalum (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/179519","Brassicaceae","Lepidium","phlebopetalum","NA","NA","accepted","Equisetopsida","Lepidium phlebopetalum","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2012-09-18T00:00:00",53606,"NSA01871",NA,NA,NA,NA
"249","NSABHC0010-53605","NSABHC0010","Lepidium phlebopetalum",FALSE,"NSA01710","Lepidium phlebopetalum","Lepidium phlebopetalum (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/179519","Brassicaceae","Lepidium","phlebopetalum","NA","NA","accepted","Equisetopsida","Lepidium phlebopetalum","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2012-09-04T00:00:00",53605,"NSA01711",NA,NA,NA,NA
"250","NSABHC0013-53608","NSABHC0013","Lepidium phlebopetalum",FALSE,"NSA05455","Lepidium phlebopetalum","Lepidium phlebopetalum (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/179519","Brassicaceae","Lepidium","phlebopetalum","NA","NA","accepted","Equisetopsida","Lepidium phlebopetalum","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2012-09-20T00:00:00",53608,"not collected",NA,NA,NA,NA
"251","NSABHC0009-53604","NSABHC0009","Lepidium phlebopetalum",FALSE,"NSA01447","Lepidium phlebopetalum","Lepidium phlebopetalum (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/179519","Brassicaceae","Lepidium","phlebopetalum","NA","NA","accepted","Equisetopsida","Lepidium phlebopetalum","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2012-09-03T00:00:00",53604,"NSA01448",NA,NA,NA,NA
"252","NSABHC0009-53604","NSABHC0009","Linum marginale",FALSE,"NSA01418","Linum marginale","Linum marginale A.Cunn.","Plantae","https://id.biodiversity.org.au/name/apni/198946","Linaceae","Linum","marginale","NA","NA","accepted","Equisetopsida","Linum marginale","A.Cunn.","https://id.biodiversity.org.au/reference/apni/44408","Species","2012-09-03T00:00:00",53604,"NSA01419",NA,NA,NA,NA
"253","NSABHC0012-58022","NSABHC0012","Linum marginale",FALSE,"NSA013855","Linum marginale","Linum marginale A.Cunn.","Plantae","https://id.biodiversity.org.au/name/apni/198946","Linaceae","Linum","marginale","NA","NA","accepted","Equisetopsida","Linum marginale","A.Cunn.","https://id.biodiversity.org.au/reference/apni/44408","Species","2016-09-15T09:49:34",58022,"NSA013856",NA,NA,NA,NA
"254","NSABHC0010-53605","NSABHC0010","Lotus cruentus",FALSE,"NSA01740","Lotus cruentus","Lotus cruentus Court","Plantae","https://id.biodiversity.org.au/name/apni/247067","Fabaceae","Lotus","cruentus","NA","NA","accepted","Equisetopsida","Lotus cruentus","Court","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-04T00:00:00",53605,"NSA01741",NA,NA,NA,NA
"255","NSABHC0014-53609","NSABHC0014","Lotus cruentus",FALSE,"NSA05749","Lotus cruentus","Lotus cruentus Court","Plantae","https://id.biodiversity.org.au/name/apni/247067","Fabaceae","Lotus","cruentus","NA","NA","accepted","Equisetopsida","Lotus cruentus","Court","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-21T00:00:00",53609,"NSA05750","NSA 005592","NSA 005593","NSA 005594","NSA 005595"
"256","NSABHC0011-53606","NSABHC0011","Lotus cruentus",FALSE,"NSA01842","Lotus cruentus","Lotus cruentus Court","Plantae","https://id.biodiversity.org.au/name/apni/247067","Fabaceae","Lotus","cruentus","NA","NA","accepted","Equisetopsida","Lotus cruentus","Court","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-18T00:00:00",53606,"NSA01843",NA,NA,NA,NA
"257","NSABHC0012-53607","NSABHC0012","Lotus cruentus",FALSE,"NSA05151","Lotus cruentus","Lotus cruentus Court","Plantae","https://id.biodiversity.org.au/name/apni/247067","Fabaceae","Lotus","cruentus","NA","NA","accepted","Equisetopsida","Lotus cruentus","Court","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-19T00:00:00",53607,"NSA05152",NA,NA,NA,NA
"258","NSABHC0009-53604","NSABHC0009","Lotus cruentus",FALSE,"NSA01488","Lotus cruentus","Lotus cruentus Court","Plantae","https://id.biodiversity.org.au/name/apni/247067","Fabaceae","Lotus","cruentus","NA","NA","accepted","Equisetopsida","Lotus cruentus","Court","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-03T00:00:00",53604,"NSA01489",NA,NA,NA,NA
"259","NSABHC0028-58027","NSABHC0028","Maireana pyramidata",FALSE,"NSA013431","Maireana pyramidata","Maireana pyramidata (Benth.) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/215510","Chenopodiaceae","Maireana","pyramidata","NA","NA","accepted","Equisetopsida","Maireana pyramidata","(Benth.) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/42312","Species","2016-09-12T13:10:42",58027,"NSA013432",NA,NA,NA,NA
"260","NSABHC0024-57100","NSABHC0024","Maireana pyramidata",FALSE,"NSA07113","Maireana pyramidata","Maireana pyramidata (Benth.) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/215510","Chenopodiaceae","Maireana","pyramidata","NA","NA","accepted","Equisetopsida","Maireana pyramidata","(Benth.) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/42312","Species","2014-04-22T00:00:00",57100,"NSA  07114",NA,NA,NA,NA
"261","NSABHC0009-53604","NSABHC0009","Maireana trichoptera",FALSE,"AUG 000283","Maireana trichoptera","Maireana trichoptera (J.M.Black) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/236098","Chenopodiaceae","Maireana","trichoptera","NA","NA","accepted","Equisetopsida","Maireana trichoptera","(J.M.Black) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/22909","Species","2012-09-03T00:00:00",53604,"not collected",NA,NA,NA,NA
"262","NSABHC0012-58022","NSABHC0012","Maireana turbinata",FALSE,"NSA013837","Maireana turbinata","Maireana turbinata Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/238273","Chenopodiaceae","Maireana","turbinata","NA","NA","accepted","Equisetopsida","Maireana turbinata","Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/42312","Species","2016-09-15T09:49:34",58022,"NSA013838",NA,NA,NA,NA
"263","NSABHC0012-58022","NSABHC0012","Maireana turbinata",FALSE,"NSA013871","Maireana turbinata","Maireana turbinata Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/238273","Chenopodiaceae","Maireana","turbinata","NA","NA","accepted","Equisetopsida","Maireana turbinata","Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/42312","Species","2016-09-15T09:49:34",58022,"NSA013872",NA,NA,NA,NA
"264","NSABHC0009-53604","NSABHC0009","Maireana turbinata",FALSE,"NSA01390","Maireana turbinata","Maireana turbinata Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/238273","Chenopodiaceae","Maireana","turbinata","NA","NA","accepted","Equisetopsida","Maireana turbinata","Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-03T00:00:00",53604,"NSA01391",NA,NA,NA,NA
"265","NSABHC0009-58026","NSABHC0009","Maireana turbinata",FALSE,"NSA013511","Maireana turbinata","Maireana turbinata Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/238273","Chenopodiaceae","Maireana","turbinata","NA","NA","accepted","Equisetopsida","Maireana turbinata","Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/42312","Species","2016-09-13T11:11:06",58026,"NSA013512",NA,NA,NA,NA
"266","NSABHC0012-58022","NSABHC0012","Malacocera tricornis",FALSE,"NSA013825","Malacocera tricornis","Malacocera tricornis (Benth.) R.H.Anderson","Plantae","https://id.biodiversity.org.au/name/apni/227407","Chenopodiaceae","Malacocera","tricornis","NA","NA","accepted","Equisetopsida","Malacocera tricornis","(Benth.) R.H.Anderson","https://id.biodiversity.org.au/reference/apni/22909","Species","2016-09-15T09:49:34",58022,"NSA013826",NA,NA,NA,NA
"267","NSABHC0012-53607","NSABHC0012","Malvastrum americanum",FALSE,"NSA05105","Malvastrum americanum","Malvastrum americanum (L.) Torr.","Plantae","https://id.biodiversity.org.au/name/apni/153504","Malvaceae","Malvastrum","americanum","NA","NA","accepted","Equisetopsida","Malvastrum americanum","(L.) Torr.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2012-09-19T00:00:00",53607,"NSA05106",NA,NA,NA,NA
"268","NSABHC0029-58028","NSABHC0029","Malvastrum americanum",FALSE,"NSA013729","Malvastrum americanum","Malvastrum americanum (L.) Torr.","Plantae","https://id.biodiversity.org.au/name/apni/153504","Malvaceae","Malvastrum","americanum","NA","NA","accepted","Equisetopsida","Malvastrum americanum","(L.) Torr.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2016-09-12T15:35:12",58028,"NSA013730",NA,NA,NA,NA
"269","NSABHC0011-53606","NSABHC0011","Malvastrum americanum",FALSE,"NSA01931","Malvastrum americanum","Malvastrum americanum (L.) Torr.","Plantae","https://id.biodiversity.org.au/name/apni/153504","Malvaceae","Malvastrum","americanum","NA","NA","accepted","Equisetopsida","Malvastrum americanum","(L.) Torr.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2012-09-18T00:00:00",53606,"NSA01932",NA,NA,NA,NA
"270","NSABHC0012-58022","NSABHC0012","Medicago minima",FALSE,"NSA013775","Medicago minima","Medicago minima (L.) L. ex Bartal.","Plantae","https://id.biodiversity.org.au/name/apni/238253","Fabaceae","Medicago","minima","NA","NA","accepted","Equisetopsida","Medicago minima","(L.) L. ex Bartal.","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-15T09:49:34",58022,"NSA013776",NA,NA,NA,NA
"271","NSABHC0023-57099","NSABHC0023","Minuria denticulata",FALSE,"NSA07024","Minuria denticulata","Minuria denticulata (DC.) Benth.","Plantae","https://id.biodiversity.org.au/name/apni/243876","Asteraceae","Minuria","denticulata","NA","NA","accepted","Equisetopsida","Minuria denticulata","(DC.) Benth.","https://id.biodiversity.org.au/reference/apni/49840","Species","2014-04-21T00:00:00",57099,"NSA  07025",NA,NA,NA,NA
"272","NSABHC0009-58026","NSABHC0009","Minuria cunninghamii",FALSE,"NSA013583","Minuria cunninghamii","Minuria cunninghamii (DC.) Benth.","Plantae","https://id.biodiversity.org.au/name/apni/227407","Asteraceae","Minuria","cunninghamii","NA","NA","accepted","Equisetopsida","Minuria cunninghamii","(DC.) Benth.","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-13T11:11:06",58026,"NSA013584",NA,NA,NA,NA
"273","NSABHC0010-53605","NSABHC0010","Minuria cunninghamii",FALSE,"NSA01730","Minuria cunninghamii","Minuria cunninghamii (DC.) Benth.","Plantae","https://id.biodiversity.org.au/name/apni/227407","Asteraceae","Minuria","cunninghamii","NA","NA","accepted","Equisetopsida","Minuria cunninghamii","(DC.) Benth.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-04T00:00:00",53605,"NSA01731",NA,NA,NA,NA
"274","NSABHC0014-53609","NSABHC0014","Minuria cunninghamii",FALSE,"NSA05733","Minuria cunninghamii","Minuria cunninghamii (DC.) Benth.","Plantae","https://id.biodiversity.org.au/name/apni/227407","Asteraceae","Minuria","cunninghamii","NA","NA","accepted","Equisetopsida","Minuria cunninghamii","(DC.) Benth.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-21T00:00:00",53609,"NSA05734",NA,NA,NA,NA
"275","NSABHC0024-57100","NSABHC0024","Minuria leptophylla",FALSE,"NSA07085","Minuria leptophylla","Minuria leptophylla DC.","Plantae","https://id.biodiversity.org.au/name/apni/139676","Asteraceae","Minuria","leptophylla","NA","NA","accepted","Equisetopsida","Minuria leptophylla","DC.","https://id.biodiversity.org.au/reference/apni/49840","Species","2014-04-22T00:00:00",57100,"NSA  07086",NA,NA,NA,NA
"276","NSABHC0009-53604","NSABHC0009","Neobassia proceriflora",FALSE,"NSA01615","Neobassia proceriflora","Neobassia proceriflora (F.Muell.) A.J.Scott","Plantae","https://id.biodiversity.org.au/name/apni/245061","Chenopodiaceae","Neobassia","proceriflora","NA","NA","accepted","Equisetopsida","Neobassia proceriflora","(F.Muell.) A.J.Scott","https://id.biodiversity.org.au/reference/apni/22909","Species","2012-09-03T00:00:00",53604,"NSA01616",NA,NA,NA,NA
"277","NSABHC0013-53608","NSABHC0013","Nitraria billardierei",FALSE,"NSA05467","Nitraria billardierei","Nitraria billardierei DC.","Plantae","https://id.biodiversity.org.au/name/apni/204808","Nitrariaceae","Nitraria","billardierei","NA","NA","accepted","Equisetopsida","Nitraria billardierei","DC.","https://id.biodiversity.org.au/reference/apni/6875190","Species","2012-09-20T00:00:00",53608,"NSA05468",NA,NA,NA,NA
"278","NSABHC0012-58022","NSABHC0012","Osteocarpum acropterum var. deminutum",FALSE,"NSA013815","Osteocarpum acropterum var. deminutum","Osteocarpum acropterum var. deminutum (J.M.Black) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/239346","Chenopodiaceae","Osteocarpum","acropterum","var.","deminutum","accepted","Equisetopsida","Osteocarpum acropterum","(J.M.Black) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/22909","Varietas","2016-09-15T09:49:34",58022,"NSA013816",NA,NA,NA,NA
"279","NSABHC0029-58028","NSABHC0029","Oxalis perennans",FALSE,"NSA013341","Oxalis perennans","Oxalis perennans Haw.","Plantae","https://id.biodiversity.org.au/name/apni/240030","Oxalidaceae","Oxalis","perennans","NA","NA","accepted","Equisetopsida","Oxalis perennans","Haw.","https://id.biodiversity.org.au/reference/apni/48872","Species","2016-09-12T15:35:12",58028,"NSA013342",NA,NA,NA,NA
"280","NSABHC0029-58028","NSABHC0029","Oxalis perennans",FALSE,"NSA013401","Oxalis perennans","Oxalis perennans Haw.","Plantae","https://id.biodiversity.org.au/name/apni/240030","Oxalidaceae","Oxalis","perennans","NA","NA","accepted","Equisetopsida","Oxalis perennans","Haw.","https://id.biodiversity.org.au/reference/apni/48872","Species","2016-09-12T15:35:12",58028,"NSA013402",NA,NA,NA,NA
"281","NSABHC0009-53604","NSABHC0009","Oxalis",FALSE,"NSA01512","Oxalis","Oxalis L.","Plantae","https://id.biodiversity.org.au/name/apni/205472","Oxalidaceae","Oxalis","NA","NA","NA","accepted","Equisetopsida","Oxalis NA","L.","https://id.biodiversity.org.au/reference/apni/48872","Genus","2012-09-03T00:00:00",53604,"NSA01513",NA,NA,NA,NA
"282","NSABHC0012-53607","NSABHC0012","Panicum decompositum",FALSE,"NSA05418","Panicum decompositum","Panicum decompositum R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/244976","Poaceae","Panicum","decompositum","NA","NA","accepted","Equisetopsida","Panicum decompositum","R.Br.","https://id.biodiversity.org.au/reference/apni/47743","Species","2012-09-19T00:00:00",53607,"NSA05419",NA,NA,NA,NA
"283","NSABHC0023-57099","NSABHC0023","Panicum effusum",FALSE,"NSA06975","Panicum effusum","Panicum effusum R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/235267","Poaceae","Panicum","effusum","NA","NA","accepted","Equisetopsida","Panicum effusum","R.Br.","https://id.biodiversity.org.au/reference/apni/47743","Species","2014-04-21T00:00:00",57099,"NSA  06976",NA,NA,NA,NA
"284","NSABHC0009-58026","NSABHC0009","Panicum laevinode",FALSE,"NSA013641","Panicum laevinode","Panicum laevinode Lindl.","Plantae","https://id.biodiversity.org.au/name/apni/227124","Poaceae","Panicum","laevinode","NA","NA","accepted","Equisetopsida","Panicum laevinode","Lindl.","https://id.biodiversity.org.au/reference/apni/34578","Species","2016-09-13T11:11:06",58026,"NSA013642",NA,NA,NA,NA
"285","NSABHC0029-58028","NSABHC0029","Parietaria cardiostegia",FALSE,"NSA013731","Parietaria cardiostegia","Parietaria cardiostegia Greuter","Plantae","https://id.biodiversity.org.au/name/apni/244313","Urticaceae","Parietaria","cardiostegia","NA","NA","accepted","Equisetopsida","Parietaria cardiostegia","Greuter","https://id.biodiversity.org.au/reference/apni/40713","Species","2016-09-12T15:35:12",58028,"NSA013732",NA,NA,NA,NA
"286","NSABHC0024-57100","NSABHC0024","Phyllanthus lacunellus",FALSE,"NSA07188","Phyllanthus lacunellus","Phyllanthus lacunellus Airy Shaw","Plantae","https://id.biodiversity.org.au/name/apni/247067","Phyllanthaceae","Phyllanthus","lacunellus","NA","NA","accepted","Equisetopsida","Phyllanthus lacunellus","Airy Shaw","https://id.biodiversity.org.au/reference/apni/47743","Species","2014-04-22T00:00:00",57100,"NSA  07189",NA,NA,NA,NA
"287","NSABHC0009-53604","NSABHC0009","Pimelea simplex",FALSE,"NSA01420","Pimelea simplex","Pimelea simplex F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/240025","Thymelaeaceae","Pimelea","simplex","NA","NA","accepted","Equisetopsida","Pimelea simplex","F.Muell.","https://id.biodiversity.org.au/reference/apni/27648","Species","2012-09-03T00:00:00",53604,"NSA01421",NA,NA,NA,NA
"288","NSABHC0009-53604","NSABHC0009","Pimelea simplex",FALSE,"NSA01465","Pimelea simplex","Pimelea simplex F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/240025","Thymelaeaceae","Pimelea","simplex","NA","NA","accepted","Equisetopsida","Pimelea simplex","F.Muell.","https://id.biodiversity.org.au/reference/apni/27648","Species","2012-09-03T00:00:00",53604,"NSA01466",NA,NA,NA,NA
"289","NSABHC0024-57100","NSABHC0024","Pimelea simplex",FALSE,"NSA07192","Pimelea simplex","Pimelea simplex F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/240025","Thymelaeaceae","Pimelea","simplex","NA","NA","accepted","Equisetopsida","Pimelea simplex","F.Muell.","https://id.biodiversity.org.au/reference/apni/27648","Species","2014-04-22T00:00:00",57100,"NSA  07193",NA,NA,NA,NA
"290","NSABHC0028-58027","NSABHC0028","Pimelea simplex subsp. simplex",FALSE,"NSA013479","Pimelea simplex subsp. simplex","Pimelea simplex F.Muell. subsp. simplex","Plantae","https://id.biodiversity.org.au/name/apni/239737","Thymelaeaceae","Pimelea","simplex","subsp.","simplex","accepted","Equisetopsida","Pimelea simplex","NA","https://id.biodiversity.org.au/reference/apni/42312","Subspecies","2016-09-12T13:10:42",58027,"NSA013480",NA,NA,NA,NA
"291","NSABHC0013-53608","NSABHC0013","Pimelea simplex subsp. simplex",FALSE,"NSA05539","Pimelea simplex subsp. simplex","Pimelea simplex F.Muell. subsp. simplex","Plantae","https://id.biodiversity.org.au/name/apni/239737","Thymelaeaceae","Pimelea","simplex","subsp.","simplex","accepted","Equisetopsida","Pimelea simplex","NA","https://id.biodiversity.org.au/reference/apni/42312","Subspecies","2012-09-20T00:00:00",53608,"NSA05540",NA,NA,NA,NA
"292","NSABHC0029-58028","NSABHC0029","Pimelea simplex subsp. simplex",FALSE,"NSA013375","Pimelea simplex subsp. simplex","Pimelea simplex F.Muell. subsp. simplex","Plantae","https://id.biodiversity.org.au/name/apni/239737","Thymelaeaceae","Pimelea","simplex","subsp.","simplex","accepted","Equisetopsida","Pimelea simplex","NA","https://id.biodiversity.org.au/reference/apni/42312","Subspecies","2016-09-12T15:35:12",58028,"NSA013376",NA,NA,NA,NA
"293","NSABHC0009-53604","NSABHC0009","Plantago drummondii",FALSE,"NSA01432","Plantago drummondii","Plantago drummondii Decne.","Plantae","https://id.biodiversity.org.au/name/apni/238253","Plantaginaceae","Plantago","drummondii","NA","NA","accepted","Equisetopsida","Plantago drummondii","Decne.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-03T00:00:00",53604,"NSA01433",NA,NA,NA,NA
"294","NSABHC0012-53607","NSABHC0012","Plantago drummondii",FALSE,"NSA05117","Plantago drummondii","Plantago drummondii Decne.","Plantae","https://id.biodiversity.org.au/name/apni/238253","Plantaginaceae","Plantago","drummondii","NA","NA","accepted","Equisetopsida","Plantago drummondii","Decne.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-19T00:00:00",53607,"NSA05118",NA,NA,NA,NA
"295","NSABHC0014-53609","NSABHC0014","Plantago drummondii",FALSE,"NSA05753","Plantago drummondii","Plantago drummondii Decne.","Plantae","https://id.biodiversity.org.au/name/apni/238253","Plantaginaceae","Plantago","drummondii","NA","NA","accepted","Equisetopsida","Plantago drummondii","Decne.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-21T00:00:00",53609,"NSA05754",NA,NA,NA,NA
"296","NSABHC0009-53604","NSABHC0009","Plantago drummondii",FALSE,"NSA01655","Plantago drummondii","Plantago drummondii Decne.","Plantae","https://id.biodiversity.org.au/name/apni/238253","Plantaginaceae","Plantago","drummondii","NA","NA","accepted","Equisetopsida","Plantago drummondii","Decne.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-03T00:00:00",53604,"not collected",NA,NA,NA,NA
"297","NSABHC0011-53606","NSABHC0011","Plantago drummondii",FALSE,"NSA01866","Plantago drummondii","Plantago drummondii Decne.","Plantae","https://id.biodiversity.org.au/name/apni/238253","Plantaginaceae","Plantago","drummondii","NA","NA","accepted","Equisetopsida","Plantago drummondii","Decne.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-18T00:00:00",53606,"NSA01867",NA,NA,NA,NA
